1. Hlasovali bychom pro vyslovení důvěry vládě Bohuslava Sobotky.,1,-1,-1,-1,58720
2. Hlasovali bychom pro rychlejší růst důchodů.,1,1,1,1,59235
3. Hlasovali bychom pro schválení státního rozpočtu pro rok 2015.,1,-1,-1,-1,59862
4. Hlasovali bychom pro plán působení armády v zahraničních misích.,0,-1,0,1,59952
5. Hlasovali bychom pro zvýšení platů poslanců a senátorů.,-1,-1,-1,-1,60089
"6. Hlasovali bychom pro tzv. ""daňový balíček"".",1,-1,0,1,59651
7. Hlasovali bychom pro zavedení možnosti vypsat celostátní referendum.,1,1,1,1,58818
8. Hlasovali bychom pro snížení práv a ochrany zákazníků mobilních operátorů.,-1,-1,-1,-1,59773
9. Hlasovali bychom pro referendum o zrušení církevních restitucí.,1,-1,1,-1,58748
10. Hlasovali bychom pro podporu říjnových parlamentních voleb na Ukrajině.,0,0,1,1,59507
"11. Hlasovali bychom pro snížení DPH na léky, knihy a kojeneckou výživu.",1,1,1,1,59664
12. Hlasovali bychom pro přísnější regulaci kampeliček.,1,-1,0,1,59653
13. Souhlasili bychom se zahraniční cestou Vojtěcha Filipa do Moskvy.,1,1,0,-1,59996
14. Hlasovali bychom pro zákon o rozpočtové odpovědnosti.,0,1,0,1,58646
15. Hlasovali bychom pro faktické zrušení lesních školek.,-1,-1,-1,-1,59955
16. Hlasovali bychom pro přísnější regulaci potravinových řetězců.,1,-1,1,1,59034
17. Hlasovali bychom pro zavedení porodného pro druhé dítě.,1,-1,1,1,59698
18. Hlasovali bychom pro omezení ochrany přírody v Národním parku Šumava.,1,1,-1,-1,59928
19. Hlasovali bychom pro zrušení 30-ti korunového regulačního poplatku.,1,1,1,0,59766
20. Hlasovali bychom pro omezení povinnosti recyklovat obaly.,-1,1,-1,-1,58699
21. Hlasovali bychom pro zavedení nových cestovních pasů pro domácí zvířata.,-1,-1,-1,0,59789
"22. Hlasovali bychom pro zrušení ""přílepků"" k návrhům zákonů.",1,1,1,1,59801
23. Hlasovali bychom pro podporu sankcí EU vůči Rusku.,-1,-1,0,1,59516
24. Hlasovali bychom pro posílení kontrolních pravomocí NKÚ.,1,-1,1,1,59042
25. Hlasovali bychom pro zrušení lustračních zákonů.,1,-1,-1,-1,58640
26. Hlasovali bychom pro novelu Služebního zákona.,1,1,1,-1,59475
27. Hlasovali bychom pro vydání Bohuslava Svobody trestnímu stíhání.,-1,1,1,1,58565
28. Hlasovali bychom pro přísnější pravidla pro vyplácení doplatku na bydlení.,1,1,1,-1,59710
29. Hlasovali bychom pro zřízení sněmovní vyšetřovací komise ke kauze Opencard.,1,-1,1,1,58782
