id,name,party,option_code,color
5462abe8a87408609940ec8d,Miroslava Němcová,ODS,-1,blue
5462abf5a87408609940efb1,Marek Benda,ODS,-1,blue
5462abeea87408609940edeb,Martin Novotný,ODS,-1,blue
5462abdfa87408609940ea35,Pavel Blažek,ODS,-1,blue
5462abf2a87408609940eee5,Radim Holeček,ODS,-1,blue
5462abe7a87408609940ec2f,Jana Fischerová,ODS,-1,blue
5462abe7a87408609940ec31,Simeon Karamazov,ODS,-1,blue
5462abf6a87408609940efc3,Petr Fiala,ODS,-1,blue
5462abf5a87408609940ef7f,Ivan Adamec,ODS,-1,blue
5462abe0a87408609940ea7b,Vladislav Vilímec,ODS,-1,blue
5462abe5a87408609940ebd7,Zbyněk Stanjura,ODS,-1,blue
5462abeda87408609940edcf,Jan Zahradník,ODS,-1,blue
5462abe6a87408609940ebf5,Jan Volný,ANO,-1,cyan
5462abfba87408609940f0dd,Jaroslav Krákora,ČSSD,-1,orange
5462abf5a87408609940efad,Ladislav Velebný,ČSSD,-1,orange
5462abe5a87408609940ebd3,Jeroným Tejc,ČSSD,-1,orange
5462abe5a87408609940ebc1,Markéta Wernerová,ČSSD,-1,orange
5462abf7a87408609940efef,Miroslava Strnadlová,ČSSD,-1,orange
5462abe0a87408609940ea57,Jiří Koskuba,ČSSD,-1,orange
5462abe8a87408609940ec77,Jaroslav Zavadil,ČSSD,-1,orange
5462abe0a87408609940ea9f,Stanislav Huml,ČSSD,-1,orange
5462abdfa87408609940ea07,Josef Novotný,ČSSD,-1,orange
5462abe4a87408609940eb89,Tomio Okamura,Úsvit,-1,pink
5462abf6a87408609940efcd,Jana Hnyková,Úsvit,-1,pink
5462abeda87408609940eddf,David Kádner,Úsvit,-1,pink
5462abeca87408609940ed71,Martin Lank,Úsvit,-1,pink
5462abfaa87408609940f087,Radim Fiala,Úsvit,-1,pink
5462abeca87408609940ed73,Josef Vondrášek,KSČM,-1,red
5462abeba87408609940ed69,Miroslav Opálka,KSČM,-1,red
5462abe9a87408609940eca1,Milada Halíková,KSČM,-1,red
5462abf2a87408609940ef0b,Jiří Dolejš,KSČM,-1,red
5462abeea87408609940ede9,Marie Pěnčíková,KSČM,-1,red
5462abf3a87408609940ef43,Jan Klán,KSČM,-1,red
5462abe3a87408609940eb6f,Vladimír Koníček,KSČM,-1,red
5462abf8a87408609940f01f,Karel Šidlo,KSČM,-1,red
5462abf7a87408609940f007,Vojtěch Filip,KSČM,-1,red
5462abe2a87408609940eaf7,Marta Semelová,KSČM,-1,red
5462abf3a87408609940ef19,Zdeněk Ondráček,KSČM,-1,red
5462abf0a87408609940ee75,Soňa Marková,KSČM,-1,red
5462abf3a87408609940ef33,René Číp,KSČM,-1,red
5462abe2a87408609940eb33,Ivo Pojezný,KSČM,-1,red
5462abdfa87408609940ea4f,Květa Matušovská,KSČM,-1,red
5462abeaa87408609940ed25,Stanislav Grospič,KSČM,-1,red
5462abeaa87408609940eceb,Gabriela Hubáčková,KSČM,-1,red
5462abe0a87408609940ea79,Zuzka Bebarová-Rujbrová,KSČM,-1,red
5462abfaa87408609940f08f,Jaroslav Borka,KSČM,-1,red
5462abe4a87408609940eb99,Josef Zahradníček,KSČM,-1,red
5462abf6a87408609940efd1,Pavel Kováčik,KSČM,-1,red
5462abe7a87408609940ec59,Miloslava Vostrá,KSČM,-1,red
5462abe9a87408609940ecb7,Alena Nohavová,KSČM,-1,red
5462abe1a87408609940eadb,Stanislav Mackovík,KSČM,-1,red
5462abe7a87408609940ec43,Leo Luzar,KSČM,-1,red
5462abeca87408609940ed75,Josef Šenfeld,KSČM,-1,red
5462abe2a87408609940eb0f,Jiří Valenta,KSČM,-1,red
5462abe2a87408609940eb27,Alexander Černý,KSČM,-1,red
5462abfaa87408609940f0a7,Jiří Koubek,TOP 09,-1,darkviolet
5462abe2a87408609940eafd,Bohuslav Svoboda,ODS,0,blue
5462abf8a87408609940f02b,Petr Bendl,ODS,0,blue
5462abeea87408609940edf1,Jana Černochová,ODS,0,blue
5462abe5a87408609940ebbd,Adolf Beznoska,ODS,0,blue
5462abe8a87408609940ec89,Jan Sedláček,ANO,0,cyan
5462abe2a87408609940eb23,Věra Jourová,ANO,0,cyan
5462abe0a87408609940ea95,Ivan Pilný,ANO,0,cyan
5462abe7a87408609940ec5b,Radka Maxová,ANO,0,cyan
5462abf4a87408609940ef6b,Pavel Čihák,ANO,0,cyan
5462abdfa87408609940ea1b,Helena Válková,ANO,0,cyan
5462abf2a87408609940eee7,Jiří Holeček,ANO,0,cyan
5462abf3a87408609940ef27,Josef Vozdecký,ANO,0,cyan
5462abeca87408609940ed6b,Matěj Fichtner,ANO,0,cyan
5462abeba87408609940ed2f,Andrej Babiš,ANO,0,cyan
5462abf0a87408609940ee93,Stanislav Berkovec,ANO,0,cyan
5462abf7a87408609940f005,Martina Berdychová,ANO,0,cyan
5462abeaa87408609940ed19,Jiří Zlatuška,ANO,0,cyan
5462abf1a87408609940eead,Milan Chovanec,ČSSD,0,orange
5462abf7a87408609940f00b,Štěpán Stupčuk,ČSSD,0,orange
5462abdfa87408609940ea37,Ladislav Šincl,ČSSD,0,orange
5462abe2a87408609940eb11,Vlastimil Gabrhel,ČSSD,0,orange
5462abf8a87408609940f045,Milan Urban,ČSSD,0,orange
5462abe3a87408609940eb49,Jan Mládek,ČSSD,0,orange
5462abeca87408609940ed9d,Marie Benešová,ČSSD,0,orange
5462abf1a87408609940ee9f,Pavlína Nytrová,ČSSD,0,orange
5462abe6a87408609940ec0f,Karel Černý,ČSSD,0,orange
5462abe5a87408609940ebc5,Marek Černoch,Úsvit,0,pink
5462abeda87408609940edb7,Miroslav Grebeníček,KSČM,0,red
5462abe2a87408609940eaf5,Václav Snopek,KSČM,0,red
5462abf9a87408609940f081,Josef Nekl,KSČM,0,red
5462abf7a87408609940efff,Vojtěch Adam,KSČM,0,red
5462abeca87408609940ed89,Hana Aulická-Jírovcová,KSČM,0,red
5462abeba87408609940ed63,Marek Ženíšek,TOP 09,0,darkviolet
